Experiment,Class,Index,Top1,Entropy,SSIM
E1_IID,0,0,0.9999796152114868,0.000284471083432436,4.5161400468849715e-05
E1_IID,0,1,0.9999842643737793,0.00022327099577523768,4.5928837439607966e-05
E1_IID,0,2,0.9999827146530151,0.0002457392984069884,4.4823204296500826e-05
E1_IID,0,3,0.9999829530715942,0.00024055187532212585,5.0921236145558026e-05
E1_IID,0,4,0.9999839067459106,0.00022755500685889274,4.858073393565109e-05
E1_IID,0,5,0.9999791383743286,0.0002890211180783808,4.357268351364191e-05
E1_IID,0,6,0.9999812841415405,0.00026328529929742217,3.8613457304037626e-05
E1_IID,0,7,0.9999814033508301,0.00026075070491060615,5.764777953786995e-05
E1_IID,0,8,0.9999847412109375,0.0002179544826503843,4.2641052271745526e-05
E1_IID,0,9,0.9999861717224121,0.00019997142953798175,5.274258287950823e-05
E1_IID,1,0,0.9982321858406067,0.01676974445581436,0.036802851215075066
E1_IID,1,1,0.9999010562896729,0.001211464637890458,0.00020757885932307394
E1_IID,1,2,0.9998601675033569,0.0016639750683680177,0.0009170002192792355
E1_IID,1,3,0.9998626708984375,0.0016276172827929258,2.1064449825185754e-05
E1_IID,1,4,0.9998763799667358,0.0014899190282449126,0.0002572905659041853
E1_IID,1,5,0.9999016523361206,0.0012072887038812041,0.00045845778794884143
E1_IID,1,6,0.9998874664306641,0.0013623903505504131,0.00030656448205334993
E1_IID,1,7,0.9999082088470459,0.0011347399558871984,0.0016189100640460784
E1_IID,1,8,0.9998679161071777,0.0015714571345597506,0.0029048290218640456
E1_IID,1,9,0.9998836517333984,0.0014030435122549534,0.00018272434063613046
E1_IID,2,0,0.9999266862869263,0.0009256510529667139,7.517674698121016e-05
E1_IID,2,1,0.9999221563339233,0.000978283118456602,8.134486335981541e-05
E1_IID,2,2,0.999930739402771,0.0008803143864497542,8.3553589370954e-05
E1_IID,2,3,0.9999034404754639,0.0011891716858372092,6.457915836010726e-05
E1_IID,2,4,0.9999130964279175,0.0010803104378283024,7.040286265676942e-05
E1_IID,2,5,0.9999468326568604,0.0006888743955641985,8.24435839081725e-05
E1_IID,2,6,0.9999300241470337,0.0008836982888169587,7.001232167815694e-05
E1_IID,2,7,0.9999425411224365,0.0007400729227811098,7.617726110063153e-05
E1_IID,2,8,0.9999313354492188,0.0008716384181752801,9.024849907746102e-05
E1_IID,2,9,0.9999260902404785,0.0009311668109148741,6.072817218071668e-05
E1_IID,3,0,0.9996010661125183,0.0043205213733017445,1.3952411633875099e-05
E1_IID,3,1,0.9997342228889465,0.002997571835294366,3.2163722141455565e-05
E1_IID,3,2,0.9997265934944153,0.0030940514989197254,1.7326433555057113e-05
E1_IID,3,3,0.99967360496521,0.0036086332984268665,1.267583018842224e-05
E1_IID,3,4,0.9997346997261047,0.00300807342864573,2.1939987799545303e-05
