Experiment,Class,Image,Top1_Logit,Entropy,SSIM
E6,3,2,0.998342276,0.015585863,0
E6,3,3,0.998173237,0.017029118,0
E6,3,4,0.997713208,0.020759966,0
E6,3,5,0.998283923,0.016080594,0
E6,3,6,0.998321593,0.015800316,0
E6,3,7,0.998352289,0.015523396,0
E6,3,8,0.99846977,0.014525244,0
E6,3,9,0.997743964,0.020505115,0
E6,4,0,0.99822551,0.016590595,0
E6,4,1,0.998429954,0.01485586,0
E6,4,2,0.997833312,0.019784424,0
E6,4,3,0.99856025,0.013789371,0
E6,4,4,0.998322189,0.015787337,0
E6,4,5,0.997642577,0.021436602,0
E6,4,6,0.998681247,0.012751902,0
E6,4,7,0.998108983,0.017597364,0
E6,4,8,0.998400748,0.01512582,0
E6,4,9,0.997055292,0.026151534,0
E6,5,0,0.993215322,0.054863557,0
E6,5,1,0.993791878,0.050658025,0
E6,5,2,0.994359672,0.046768658,0
E6,5,3,0.993263602,0.054592989,0
E6,5,4,0.993447483,0.053206414,0
E6,5,5,0.993374288,0.053767391,0
E6,5,6,0.994341254,0.04678645,0
E6,5,7,0.999563515,0.004579747,0
E6,5,8,0.993744433,0.051086269,0
E6,5,9,0.992896259,0.057212397,0
E6,6,0,0.997885525,0.019363388,0
E6,6,1,0.997761726,0.020364083,0
E6,6,2,0.997947276,0.018869713,0
E6,6,3,0.997891605,0.0193213,0
E6,6,4,0.997124135,0.025546245,0
E6,6,5,0.997435391,0.023043007,0
E6,6,6,0.997816205,0.019921673,0
E6,6,7,0.99805057,0.018018471,0
E6,6,8,0.997785091,0.020169912,0
E6,6,9,0.998080015,0.017773647,0
E6,7,0,0.985132933,0.108155221,0
E6,7,1,0.98829329,0.087883808,0
E6,7,2,0.985656738,0.105625801,0
E6,7,3,0.9854967,0.10672982,0
E6,7,4,0.988630176,0.085505113,0
E6,7,5,0.984322727,0.113751128,0
E6,7,6,0.987416863,0.093999989,0
E6,7,7,0.987187147,0.095373042,0
E6,7,8,0.984145463,0.114075892,0
E6,7,9,0.985367417,0.106967524,0
E6,8,0,0.998259485,0.015983503,0
E6,8,1,0.998012304,0.017889034,0
E6,8,2,0.998108387,0.016987296,0
E6,8,3,0.998238325,0.016256973,0
E6,8,4,0.998153031,0.016930595,0
E6,8,5,0.997989774,0.018348705,0
E6,8,6,0.998160422,0.01685686,0
E6,8,7,0.998192251,0.016549133,0
E6,8,8,0.998153269,0.016897034,0
E6,8,9,0.998070896,0.017623154,0
E6,9,0,0.998527527,0.01420548,0
E6,9,1,0.998612285,0.01348778,0
E6,9,2,0.998656034,0.013093954,0
E6,9,3,0.998373866,0.015537563,0
E6,9,4,0.998541951,0.014087773,0
E6,9,5,0.998508275,0.014390044,0
E6,9,6,0.998710871,0.012614591,0
E6,9,7,0.998453259,0.014851309,0
E6,9,8,0.998567462,0.013865583,0
E6,9,9,0.998242378,0.016662568,0
E7,0,0,0.997837842,0.019944526,0
E7,0,1,0.997754514,0.020600978,0
E7,0,2,0.997973502,0.018811323,0
E7,0,3,0.997994184,0.018666998,0
E7,0,4,0.998383045,0.015392226,0
E7,0,5,0.998383045,0.015394665,0
E7,0,6,0.997851372,0.019759132,0
E7,0,7,0.998025417,0.018389829,0
E7,0,8,0.998735726,0.012314347,0
E7,0,9,0.998021007,0.018458165,0
E7,1,0,0.998404324,0.014772598,0
E7,1,1,0.998848796,0.01106837,0
E7,1,2,0.998775542,0.011644874,0
E7,1,3,0.998458147,0.014328825,0
E7,1,4,0.99874866,0.011862871,0
E7,1,5,0.99883014,0.01126286,0
E7,1,6,0.998847008,0.011084903,0
E7,1,7,0.998924792,0.010484589,0
E7,1,8,0.998554885,0.013562802,0
E7,1,9,0.998876631,0.010855918,0
E7,2,0,0.994928002,0.041898489,0
E7,2,1,0.994034111,0.047985494,0
E7,2,2,0.994087577,0.046942562,0
E7,2,3,0.993599415,0.051382937,0
E7,2,4,0.993785143,0.050102554,0
E7,2,5,0.993887126,0.048819959,0
E7,2,6,0.994493902,0.044843353,0
E7,2,7,0.99550277,0.037162546,0
E7,2,8,0.993667185,0.050700597,0
E7,2,9,0.994098783,0.047724392,0
